Flow;Fe;Steel;Plastic;Cu;Glass;Al;Al_cast;Paint;Rubber;Carbon_black;Pb;Ethylencarbonate;Graphite;Nd;LiMn04;LiPF6
Dismantled_ELVs;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Materials_from_EV_motor;0.109;0.088;1.000;-0.066;1.000;0.340;0.340;1.000;1.000;1.000;1.000;1.000;1.000;0.088;0.340;0.340
Exported_copper;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Recycled_copper;0.000;0.000;0.000;0.157;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
EV_motors;0.891;0.912;0.000;0.722;0.000;0.660;0.660;0.000;0.000;0.000;0.000;0.000;0.000;0.912;0.660;0.660
Slags_battery_recycling;0.970;0.970;0.000;0.000;0.000;0.010;0.010;0.100;0.000;0.000;0.000;0.100;0.100;0.400;0.100;0.100
EV_batteries_exported;0.015;0.015;0.500;0.600;0.990;0.980;0.980;0.100;0.010;0.010;1.000;0.100;0.100;0.000;0.100;0.100
EV_batteries_recycled;0.015;0.015;0.500;0.400;0.010;0.010;0.010;0.800;0.990;0.990;0.000;0.800;0.800;0.600;0.800;0.800
Heavy_fraction;0.970;0.970;0.100;0.500;0.500;0.671;0.671;0.133;0.050;0.050;0.950;0.133;0.671;0.968;0.671;0.671
Light_fraction;0.030;0.030;0.900;0.500;0.500;0.329;0.329;0.867;0.950;0.950;0.050;0.867;0.329;0.032;0.329;0.329
Exported_Fe_heavy;0.089;0.089;0.000;0.056;0.000;0.001;0.001;0.017;0.000;0.000;0.000;0.000;0.000;0.171;0.001;0.001
Domestic_Fe;0.903;0.903;0.000;0.201;0.000;0.005;0.005;0.083;0.000;0.000;0.000;0.000;0.000;0.821;0.005;0.005
Non_Fe_fraction;0.008;0.008;1.000;0.743;1.000;0.994;0.994;0.900;1.000;1.000;1.000;1.000;1.000;0.008;0.994;0.994
Shredder_fluff_1;0.864;0.864;0.678;0.289;0.157;0.000;0.000;0.678;0.225;0.225;0.050;0.678;0.333;0.333;0.333;0.333
Shredder_fluff_2;0.136;0.136;0.322;0.711;0.843;0.000;0.000;0.322;0.775;0.775;0.950;0.322;0.333;0.333;0.333;0.333
Domestic_Aluminum;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.333;0.333;0.333;0.333
Exported_mixed_fraction;0.010;0.010;0.106;0.600;0.200;0.001;0.002;0.350;0.106;0.100;0.950;0.106;0.500;0.010;0.001;0.001
Exported_Al_fraction;0.010;0.010;0.000;0.100;0.000;0.250;0.250;0.100;0.000;0.000;0.000;0.000;0.000;0.010;0.250;0.250
Exported_Fe_fraction;0.960;0.960;0.000;0.100;0.000;0.000;0.000;0.100;0.000;0.000;0.000;0.000;0.000;0.960;0.000;0.000
Residues;0.010;0.010;0.894;0.100;0.800;0.002;0.002;0.350;0.894;0.900;0.050;0.894;0.500;0.010;0.002;0.002
Al_fraction;0.010;0.010;0.000;0.100;0.000;0.747;0.746;0.100;0.000;0.000;0.000;0.000;0.000;0.010;0.747;0.747
Exported_steel;0.633;0.633;0.000;0.750;0.000;0.000;0.000;0.000;0.000;0.000;0.900;0.000;0.000;0.667;0.000;0.000
Slags_and_dusts_steel;0.100;0.100;1.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;0.100;1.000;1.000;0.111;1.000;1.000
Recycled_steel;0.267;0.267;0.000;0.250;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.222;0.000;0.000
Exported_Al;0.000;0.000;0.000;0.300;0.000;0.237;0.237;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.528;0.528
Slags_Al;1.000;1.000;1.000;0.400;1.000;0.058;0.058;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.058;0.058
Recycled_Al;0.000;0.000;0.000;0.300;0.000;0.705;0.705;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.415;0.415
Recycled_materials;0.015;0.015;0.500;0.980;0.990;0.980;0.980;0.100;0.010;0.010;1.000;0.500;1.000;0.015;0.980;0.980
Slags_regulated_components;0.015;0.015;0.500;0.010;0.010;0.010;0.010;0.800;0.990;0.990;0.000;0.500;0.000;0.015;0.010;0.010
Domestic_steel_from_decanning;0.970;0.970;0.000;0.010;0.000;0.010;0.010;0.100;0.000;0.000;0.000;0.000;0.000;0.970;0.010;0.010
