Year;1 Inflow S70 EV;1 Inflow S70 ICEV;2 Inflow S100 EV;2 Inflow S100 ICEV;3 Inflow S70D EV;3 Inflow S70D ICEV;4 Inflow S70D-CE+ EV;4 Inflow S70D-CE+ ICEV;5 Inflow S100D-CE+ EV;5 Inflow S100D-CE+ ICEV;1 Outflow S70 EV;1 Outflow S70 ICEV;2 Outflow S100 EV;2 Outflow S100 ICEV;3 Outflow S70D EV;3 Outflow S70D ICEV;4 Outflow S70D-CE+ EV;4 Outflow S70D-CE+ ICEV;5 Outflow S100D-CE+ EV;5 Outflow S100D-CE+ ICEV
2010;0.0134;13.3595;0.0134;13.3595;0.0134;13.3595;0.0134;13.3595;0.0134;13.3595;0;14.0082;0;14.0082;0;14.0082;0;14.0082;0;14.0082
2011;0.0263;13.1218;0.0263;13.1218;0.0263;13.1218;0.0263;13.1218;0.0263;13.1218;0;13.8109;0;13.8109;0;13.8109;0;13.8109;0;13.8109
2012;0.0482;12.0036;0.0482;12.0036;0.0482;12.0036;0.0482;12.0036;0.0482;12.0036;0.0001;13.616;0.0001;13.616;0.0001;13.616;0.0001;13.616;0.0001;13.616
2013;0.0831;11.7902;0.0831;11.7902;0.0831;11.7902;0.0831;11.7902;0.0831;11.7902;0.0002;13.4424;0.0002;13.4424;0.0002;13.4424;0.0002;13.4424;0.0002;13.4424
2014;0.1631;12.3794;0.1631;12.3794;0.1631;12.3794;0.1631;12.3794;0.1631;12.3794;0.0004;13.3052;0.0004;13.3052;0.0004;13.3052;0.0004;13.3052;0.0004;13.3052
2015;0.1781;13.5182;0.1781;13.5182;0.1781;13.5182;0.1781;13.5182;0.1781;13.5182;0.0007;13.2138;0.0007;13.2138;0.0007;13.2138;0.0007;13.2138;0.0007;13.2138
2016;0.2487;14.3812;0.2487;14.3812;0.2487;14.3812;0.2487;14.3812;0.2487;14.3812;0.0013;13.1706;0.0013;13.1706;0.0013;13.1706;0.0013;13.1706;0.0013;13.1706
2017;0.3326;14.7857;0.3326;14.7857;0.3326;14.7857;0.3326;14.7857;0.3326;14.7857;0.0023;13.1714;0.0023;13.1714;0.0023;13.1714;0.0023;13.1714;0.0023;13.1714
2018;0.4239;14.7166;0.4239;14.7166;0.4239;14.7166;0.4239;14.7166;0.4239;14.7166;0.0039;13.2071;0.0039;13.2071;0.0039;13.2071;0.0039;13.2071;0.0039;13.2071
2019;0.5542;15.7458;0.5542;15.7458;0.5542;15.7458;0.5542;15.7458;0.5542;15.7458;0.0064;13.2661;0.0064;13.2661;0.0064;13.2661;0.0064;13.2661;0.0064;13.2661
2020;0.7889;15.82;0.9965;15.6123;0.7872;15.7845;0.7872;15.7845;0.9943;15.5774;0.0103;13.3355;0.0104;13.3354;0.0103;13.3355;0.0042;13.2129;0.0042;13.2129
