Flow;Fe;Steel;Plastic;Cu;Glass;Al;Al_cast;Paint;Rubber;Carbon_black;Pb;Ethylencarbonate;Graphite;Nd;LiMn04;LiPF6
EV_battery;0;0;0.212669246;0.579289339;0;0.35768985;0;0;0;0;0;0.464216634;0.546123919;0;0.567024876;0.055125725
EV_motor_and_transmission;0.045168883;0.358762332;0.081461192;1.095316775;0;1.844256144;0;0;0.037;0;0;0;0;0.016666667;0;0
Lead_battery;0;0;0.006587094;0;0;0;0;0;0;0;0.112408764;0;0;0;0;0
Interior_exterior;0;0.70560906;1.187638246;0.115158031;0;0.1846263;0;0.117934016;0.052900894;0;0;0;0;0;0;0
Tyres_wheels;0;0.469498925;0;0;0;0;0;0;0.181052632;0.083284211;0;0;0;0;0;0
Brakes;0.181621646;0.10594596;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chassis;0;1.724558191;0.05887629;0.040914032;0;0;0;0;0;0;0;0;0;0;0;0
Body_doors;0;3.890000053;0.25;0;0.288347169;0;0;0;0;0;0;0;0;0;0;0
Transmission;0;0.265687269;0.04;0;0;0.1212;0;0;0;0;0;0;0;0;0;0
Engine;0.89262;0.29042;0;0;0;0;0.29826;0;0;0;0;0;0;0;0;0
ICEV_other_powertrain;0;0.531478089;0.29694507;0.065009018;0;0;0;0;0;0;0;0;0;0;0;0
Lead_battery;0;0;0.006587094;0;0;0;0;0;0;0;0.112408764;0;0;0;0;0
